gene_ID,Name,moduleColor,MM,Mycobrowser Functional Category,GO-SLIM: biological_process,GO-SLIM: molecular_function
gene:Rv0259c,Rv0259c,yellow,0.533748232,conserved hypotheticals,NA,lyase activity
gene:Rv0260c,Rv0260c,paleturquoise,0.473225721,regulatory proteins,"regulation of transcription, DNA-templated, signaling, intracellular","DNA binding, lyase activity"
gene:Rv0261c,narK3,yellow,0.466325257,cell wall and cell processes,transmembrane transport,"transmembrane transport, transporter activity"
gene:Rv0262c,aac,purple,0.592063051,"virulence, detoxification, adaptation",carbohydrate derivative metabolic process,transferase activity
gene:Rv0263c,Rv0263c,plum2,0.889155054,conserved hypotheticals,NA,hydrolase activity
gene:Rv0264c,Rv0264c,turquoise,0.166690189,conserved hypotheticals,NA,hydrolase activity
gene:Rv0265c,Rv0265c,lightcyan,0.629075482,cell wall and cell processes,NA,NA
gene:Rv0266c,oplA,yellow,0.595464789,intermediary metabolism and respiration,"sulfur compound metabolic process, cellular modified amino acid metabolic process",hydrolase activity
gene:Rv0267,narU,green,0.591895144,cell wall and cell processes,"transmembrane transport, nitrogen cycle metabolic process","transmembrane transport, transporter activity"
gene:Rv0268c,Rv0268c,purple,0.595686669,conserved hypotheticals,NA,NA
gene:Rv0269c,Rv0269c,yellow,-0.459647835,conserved hypotheticals,NA,NA
gene:Rv0270,fadD2,violet,0.694962499,lipid metabolism,NA,ligase activity
gene:Rv0271c,fadE6,lightcyan,0.250898922,lipid metabolism,NA,oxidoreductase activity
gene:Rv0272c,Rv0272c,greenyellow,0.322455499,conserved hypotheticals,NA,NA
gene:Rv0273c,Rv0273c,greenyellow,0.39597565,regulatory proteins,"regulation of transcription, DNA-templated",DNA binding
gene:Rv0274,Rv0274,green,0.739916495,conserved hypotheticals,NA,oxidoreductase activity
gene:Rv0275c,Rv0275c,yellow,0.876230182,regulatory proteins,NA,DNA binding
gene:Rv0276,Rv0276,purple,0.75824025,conserved hypotheticals,NA,oxidoreductase activity
gene:Rv0277c,vapC25,black,0.355284914,"virulence, detoxification, adaptation",NA,"catalytic activity, acting on RNA, hydrolase activity"
gene:Rv0278c,Rv0278c,salmon,-0.049493774,NULL,NA,NA
gene:Rv0279c,PE_PGRS4,saddlebrown,0.854302305,PE/PPE,NA,NA
gene:Rv0280,PPE3,darkred,0.811040414,PE/PPE,NA,NA
gene:Rv0281,Rv0281,darkred,0.580871829,lipid metabolism,NA,transferase activity
gene:Rv0282,eccA3,darkred,0.722923735,cell wall and cell processes,metal ion homeostasis,hydrolase activity
gene:Rv0283,eccB3,darkred,0.821957117,cell wall and cell processes,NA,hydrolase activity
gene:Rv0284,eccC3,darkred,0.870572116,cell wall and cell processes,NA,DNA binding
gene:Rv0285,PE5,darkred,0.861255843,PE/PPE,NA,NA
gene:Rv0286,PPE4,darkred,0.929468467,PE/PPE,NA,NA
gene:Rv0287,esxG,darkred,0.817069293,cell wall and cell processes,NA,NA
gene:Rv0288,esxH,darkred,0.851719897,cell wall and cell processes,NA,NA
gene:Rv0289,espG3,darkred,0.763855505,cell wall and cell processes,NA,NA
gene:Rv0290,eccD3,darkred,0.941006905,cell wall and cell processes,NA,NA
gene:Rv0291,mycP3,darkred,0.886613181,intermediary metabolism and respiration,protein maturation,"catalytic activity, acting on a protein, hydrolase activity"
gene:Rv0292,eccE3,darkred,0.965676835,cell wall and cell processes,NA,NA
gene:Rv0293c,Rv0293c,lightgreen,0.926895153,conserved hypotheticals,NA,hydrolase activity
gene:Rv0294,tam,purple,0.437897781,intermediary metabolism and respiration,NA,transferase activity
gene:Rv0295c,Rv0295c,blue,0.812764524,conserved hypotheticals,NA,NA
gene:Rv0296c,Rv0296c,skyblue,0.829338908,intermediary metabolism and respiration,NA,hydrolase activity
gene:Rv0297,PE_PGRS5,violet,0.93451094,PE/PPE,NA,NA
gene:Rv0298,Rv0298,yellow,-0.041823903,conserved hypotheticals,"regulation of transcription, DNA-templated",NA
gene:Rv0299,Rv0299,salmon,0.220582243,conserved hypotheticals,NA,NA
gene:Rv0300,vapB2,turquoise,0.113011047,"virulence, detoxification, adaptation","regulation of transcription, DNA-templated",NA
gene:Rv0301,vapC2,yellow,0.017118766,"virulence, detoxification, adaptation",NA,"catalytic activity, acting on RNA, hydrolase activity"
gene:Rv0302,Rv0302,red,0.649694073,regulatory proteins,"regulation of transcription, DNA-templated","regulation of transcription, DNA-templated, DNA binding"
gene:Rv0303,Rv0303,red,0.529259084,intermediary metabolism and respiration,NA,oxidoreductase activity
gene:Rv0304c,PPE5,salmon,0.420320251,PE/PPE,NA,NA
gene:Rv0305c,PPE6,darkmagenta,0.740022217,PE/PPE,NA,NA
gene:Rv0306,Rv0306,greenyellow,0.684368246,intermediary metabolism and respiration,NA,oxidoreductase activity
gene:Rv0307c,Rv0307c,lightgreen,0.902916947,conserved hypotheticals,NA,NA
gene:Rv0308,Rv0308,yellowgreen,0.893729874,cell wall and cell processes,NA,NA
gene:Rv0309,Rv0309,yellowgreen,0.897295696,cell wall and cell processes,NA,NA
gene:Rv0310c,Rv0310c,greenyellow,0.648615883,conserved hypotheticals,NA,NA
gene:Rv0311,Rv0311,lightgreen,0.846284207,conserved hypotheticals,NA,NA
gene:Rv0312,Rv0312,yellowgreen,0.851672883,conserved hypotheticals,protein folding,protein folding chaperone
gene:Rv0313,Rv0313,green,0.909166052,conserved hypotheticals,NA,NA
gene:Rv0314c,Rv0314c,darkgreen,0.653507864,cell wall and cell processes,NA,NA
gene:Rv0315,Rv0315,greenyellow,0.50777737,intermediary metabolism and respiration,carbohydrate metabolic process,hydrolase activity
gene:Rv0316,Rv0316,greenyellow,0.573465263,intermediary metabolism and respiration,NA,isomerase activity
gene:Rv0317c,glpQ2,pink,0.858616913,intermediary metabolism and respiration,lipid metabolic process,hydrolase activity
gene:Rv0318c,Rv0318c,grey,0.044930353,cell wall and cell processes,transmembrane transport,"transmembrane transport, transporter activity"
gene:Rv0319,pcp,lightcyan,0.56028889,intermediary metabolism and respiration,NA,"catalytic activity, acting on a protein, hydrolase activity"
gene:Rv0320,Rv0320,greenyellow,0.696285487,cell wall and cell processes,NA,NA
gene:Rv0321,dcd,yellow,-0.169003817,intermediary metabolism and respiration,"nucleobase-containing small molecule metabolic process, carbohydrate derivative metabolic process",hydrolase activity
gene:Rv0322,udgA,yellow,0.301666677,intermediary metabolism and respiration,"carbohydrate metabolic process, carbohydrate derivative metabolic process, nucleobase-containing small molecule metabolic process",oxidoreductase activity
gene:Rv0323c,Rv0323c,green,0.819858516,conserved hypotheticals,"carbohydrate derivative metabolic process, sulfur compound metabolic process",hydrolase activity
gene:Rv0324,Rv0324,purple,0.908950629,regulatory proteins,"regulation of transcription, DNA-templated","transferase activity, regulation of transcription, DNA-templated"
gene:Rv0325,Rv0325,purple,0.899260496,unknown,NA,NA
gene:Rv0326,Rv0326,purple,0.657294474,unknown,NA,NA
gene:Rv0327c,cyp135A1,turquoise,0.585163828,intermediary metabolism and respiration,NA,oxidoreductase activity
gene:Rv0328,Rv0328,green,0.719473861,regulatory proteins,"regulation of transcription, DNA-templated","regulation of transcription, DNA-templated, DNA binding"
gene:Rv0329c,Rv0329c,green,0.654488576,conserved hypotheticals,NA,transferase activity
gene:Rv0330c,Rv0330c,red,0.69959645,conserved hypotheticals,"regulation of transcription, DNA-templated","regulation of transcription, DNA-templated, DNA binding"
gene:Rv0331,Rv0331,purple,0.843778574,intermediary metabolism and respiration,NA,oxidoreductase activity
gene:Rv0332,Rv0332,royalblue,0.56796922,conserved hypotheticals,NA,NA
gene:Rv0333,Rv0333,blue,-0.081909321,conserved hypotheticals,NA,NA
gene:Rv0334,rmlA,black,0.429446704,intermediary metabolism and respiration,"carbohydrate derivative metabolic process, nucleobase-containing small molecule metabolic process, carbohydrate metabolic process",transferase activity
gene:Rv0335c,PE6,turquoise,0.753394803,PE/PPE,NA,NA
gene:Rv0336,Rv0336,brown,0.673780436,insertion seqs and phages,NA,NA
gene:Rv0337c,aspC,sienna3,0.779514381,intermediary metabolism and respiration,NA,transferase activity
gene:Rv0338c,Rv0338c,sienna3,0.741554301,intermediary metabolism and respiration,NA,NA
gene:Rv0339c,Rv0339c,turquoise,0.173345571,regulatory proteins,"regulation of transcription, DNA-templated, signaling, intracellular","signaling, molecular transducer activity, DNA binding, regulation of transcription, DNA-templated"
gene:Rv0340,Rv0340,brown4,0.767875988,conserved hypotheticals,NA,NA
gene:Rv0341,iniB,blue,0.252101835,cell wall and cell processes,NA,NA
gene:Rv0342,iniA,black,0.497699497,cell wall and cell processes,transmembrane transport,"transmembrane transport, transporter activity"
gene:Rv0343,iniC,paleturquoise,0.778572702,cell wall and cell processes,NA,NA
gene:Rv0344c,lpqJ,sienna3,0.813254124,cell wall and cell processes,NA,NA
gene:Rv0345,Rv0345,lightgreen,0.703544369,conserved hypotheticals,NA,NA
gene:Rv0346c,ansP2,midnightblue,0.882629819,cell wall and cell processes,transmembrane transport,NA
gene:Rv0347,Rv0347,purple,0.760716588,cell wall and cell processes,NA,NA
gene:Rv0348,Rv0348,green,0.716426579,regulatory proteins,NA,NA
gene:Rv0349,Rv0349,green,0.699375376,conserved hypotheticals,NA,NA
gene:Rv0350,dnaK,purple,0.691682679,"virulence, detoxification, adaptation","protein modification process, protein folding",protein folding chaperone
gene:Rv0351,grpE,purple,0.537301662,"virulence, detoxification, adaptation",protein folding,molecular function regulator
gene:Rv0352,dnaJ1,purple,0.541586233,"virulence, detoxification, adaptation","protein folding, DNA replication",NA
gene:Rv0353,hspR,black,0.364169022,"virulence, detoxification, adaptation","regulation of transcription, DNA-templated",DNA binding
gene:Rv0354c,PPE7,blue,0.181040183,PE/PPE,NA,NA
gene:Rv0355c,PPE8,blue,0.114990928,PE/PPE,NA,NA
gene:Rv0356c,Rv0356c,blue,0.699113784,conserved hypotheticals,NA,NA
gene:Rv0357c,purA,thistle2,0.805736248,intermediary metabolism and respiration,"carbohydrate derivative metabolic process, nucleobase-containing small molecule metabolic process",ligase activity
gene:Rv0358,Rv0358,greenyellow,0.397782106,conserved hypotheticals,NA,NA
gene:Rv0359,Rv0359,tan,0.3951946,cell wall and cell processes,NA,NA
gene:Rv0360c,Rv0360c,midnightblue,0.822685455,conserved hypotheticals,NA,NA
gene:Rv0361,Rv0361,darkgrey,0.389381345,cell wall and cell processes,NA,NA
gene:Rv0362,mgtE,red,0.37616187,cell wall and cell processes,transmembrane transport,"transmembrane transport, transporter activity"
gene:Rv0363c,fba,lightyellow,0.519852891,intermediary metabolism and respiration,"carbohydrate derivative metabolic process, nucleobase-containing small molecule metabolic process, generation of precursor metabolites and energy, carbohydrate metabolic process",lyase activity
gene:Rv0364,Rv0364,blue,0.847584019,cell wall and cell processes,NA,NA
gene:Rv0365c,Rv0365c,turquoise,0.215475516,conserved hypotheticals,carbohydrate metabolic process,NA
gene:Rv0366c,Rv0366c,turquoise,0.469508308,conserved hypotheticals,NA,transferase activity
gene:Rv0367c,Rv0367c,turquoise,0.803329,conserved hypotheticals,NA,NA
gene:Rv0368c,Rv0368c,yellow,0.702895763,conserved hypotheticals,NA,NA
gene:Rv0369c,Rv0369c,turquoise,0.469039495,intermediary metabolism and respiration,NA,NA
gene:Rv0370c,Rv0370c,yellow,0.241678251,intermediary metabolism and respiration,NA,hydrolase activity
gene:Rv0371c,Rv0371c,yellow,0.252321251,conserved hypotheticals,NA,NA
gene:Rv0372c,Rv0372c,darkslateblue,0.719865141,conserved hypotheticals,NA,NA
gene:Rv0373c,Rv0373c,yellow,0.518173272,intermediary metabolism and respiration,NA,oxidoreductase activity
gene:Rv0374c,Rv0374c,yellow,0.539858758,intermediary metabolism and respiration,NA,oxidoreductase activity
gene:Rv0375c,Rv0375c,yellow,0.694907705,intermediary metabolism and respiration,NA,oxidoreductase activity
gene:Rv0376c,Rv0376c,red,0.751952864,conserved hypotheticals,NA,NA
gene:Rv0377,Rv0377,darkgreen,0.674370156,regulatory proteins,"regulation of transcription, DNA-templated","DNA binding, regulation of transcription, DNA-templated"
gene:Rv0378,Rv0378,red,0.351828251,conserved hypotheticals,NA,NA
gene:Rv0379,secE2,blue,0.804927674,cell wall and cell processes,NA,NA
gene:Rv0380c,Rv0380c,brown,0.651627471,intermediary metabolism and respiration,NA,"RNA binding, catalytic activity, acting on RNA, transferase activity"
gene:Rv0381c,Rv0381c,brown,0.578086715,conserved hypotheticals,NA,NA
gene:Rv0382c,pyrE,brown,0.589291348,intermediary metabolism and respiration,"nucleobase-containing small molecule metabolic process, carbohydrate derivative metabolic process",transferase activity
gene:Rv0383c,Rv0383c,brown,0.511521837,cell wall and cell processes,NA,NA
gene:Rv0384c,clpB,royalblue,0.886305922,"virulence, detoxification, adaptation",protein folding,hydrolase activity
gene:Rv0385,Rv0385,white,0.887063048,intermediary metabolism and respiration,NA,"oxidoreductase activity, molecular carrier activity"
gene:Rv0386,Rv0386,paleturquoise,0.773093754,regulatory proteins,"carbohydrate derivative metabolic process, nucleobase-containing small molecule metabolic process, regulation of transcription, DNA-templated, signaling, intracellular","carbohydrate derivative metabolic process, nucleobase-containing small molecule metabolic process, lyase activity, cyclase activity, DNA binding"
gene:Rv0387c,Rv0387c,green,0.678515828,conserved hypotheticals,NA,NA
gene:Rv0388c,PPE9,green,0.646542422,PE/PPE,NA,NA
gene:Rv0389,purT,turquoise,0.480259236,intermediary metabolism and respiration,"carbohydrate derivative metabolic process, nucleobase-containing small molecule metabolic process",transferase activity
gene:Rv0390,Rv0390,brown,0.75288174,conserved hypotheticals,NA,NA
gene:Rv0391,metZ,tan,0.803269363,intermediary metabolism and respiration,"sulfur compound metabolic process, cellular amino acid metabolic process","lyase activity, transferase activity"
gene:Rv0392c,ndhA,black,0.229821526,intermediary metabolism and respiration,NA,oxidoreductase activity
gene:Rv0393,Rv0393,lightcyan,-0.139708566,insertion seqs and phages,NA,NA
gene:Rv0394c,Rv0394c,magenta,0.790538321,cell wall and cell processes,NA,NA
gene:Rv0395,Rv0395,greenyellow,0.447334236,conserved hypotheticals,NA,NA
gene:Rv0396,Rv0396,palevioletred3,0.677116392,conserved hypotheticals,NA,NA
gene:Rv0397,Rv0397,yellow,0.722122504,insertion seqs and phages,NA,NA
gene:Rv0397A,Rv0397A,cyan,0.704921123,conserved hypotheticals,NA,NA
gene:Rv0398c,Rv0398c,brown,0.612405755,cell wall and cell processes,NA,NA
gene:Rv0399c,lpqK,darkred,0.662716875,cell wall and cell processes,NA,NA
gene:Rv0400c,fadE7,brown,0.393109527,lipid metabolism,"carbohydrate derivative metabolic process, nucleobase-containing small molecule metabolic process, sulfur compound metabolic process, lipid metabolic process",oxidoreductase activity
gene:Rv0401,Rv0401,blue,0.170985121,cell wall and cell processes,NA,NA
gene:Rv0402c,mmpL1,blue,0.702369928,cell wall and cell processes,NA,NA
gene:Rv0403c,mmpS1,black,0.524341082,cell wall and cell processes,NA,NA
gene:Rv0404,fadD30,blue,0.646754783,lipid metabolism,"lipid metabolic process, cell wall organization or biogenesis","transferase activity, ligase activity"
gene:Rv0405,pks6,blue,0.773401565,lipid metabolism,"lipid metabolic process, cell wall organization or biogenesis",transferase activity
gene:Rv0406c,Rv0406c,turquoise,0.580830046,conserved hypotheticals,NA,hydrolase activity
gene:Rv0407,fgd1,darkorange,0.566402381,intermediary metabolism and respiration,carbohydrate metabolic process,oxidoreductase activity
gene:Rv0408,pta,darkorange,0.883876935,intermediary metabolism and respiration,"carbohydrate derivative metabolic process, nucleobase-containing small molecule metabolic process, sulfur compound metabolic process",transferase activity
gene:Rv0409,ackA,magenta,0.909041448,intermediary metabolism and respiration,"carbohydrate derivative metabolic process, nucleobase-containing small molecule metabolic process, sulfur compound metabolic process",transferase activity
gene:Rv0410c,pknG,lightgreen,0.631765482,regulatory proteins,"protein modification process, cellular amino acid metabolic process","catalytic activity, acting on a protein, transferase activity"
